Spheres,Resolution,Time
1,28x28,0.000190
1,28x28,0.000185
1,28x28,0.000187
1,28x28,0.000246
1,28x28,0.000224
1,28x28,0.000260
1,28x28,0.000333
1,28x28,0.000298
1,28x28,0.000238
1,28x28,0.000199
1,28x28,0.000185
1,28x28,0.000183
1,28x28,0.000184
1,28x28,0.000215
1,28x28,0.000260
1,28x28,0.000185
1,28x28,0.000195
1,28x28,0.000188
1,28x28,0.000188
1,28x28,0.000222
1,28x28,0.000202
1,28x28,0.000182
1,28x28,0.000183
1,28x28,0.000189
1,28x28,0.000191
1,28x28,0.000185
1,28x28,0.000186
1,28x28,0.000185
1,28x28,0.000196
1,28x28,0.000248
1,28x28,0.000192
1,28x28,0.000183
1,28x28,0.000185
1,28x28,0.000185
1,28x28,0.000188
1,28x28,0.000185
1,28x28,0.000186
1,28x28,0.000187
1,28x28,0.000184
1,28x28,0.000182
1,28x28,0.000192
1,28x28,0.000183
1,28x28,0.000184
1,28x28,0.000186
1,28x28,0.000189
1,28x28,0.000302
1,28x28,0.000262
1,28x28,0.000491
1,28x28,0.000321
1,28x28,0.000240
