Spheres,Resolution,Time
1,27x27,0.000183
1,27x27,0.000170
1,27x27,0.000169
1,27x27,0.000170
1,27x27,0.000172
1,27x27,0.000170
1,27x27,0.000169
1,27x27,0.000169
1,27x27,0.000169
1,27x27,0.000169
1,27x27,0.000169
1,27x27,0.000267
1,27x27,0.000184
1,27x27,0.000171
1,27x27,0.000168
1,27x27,0.000170
1,27x27,0.000170
1,27x27,0.000171
1,27x27,0.000168
1,27x27,0.000169
1,27x27,0.000169
1,27x27,0.000170
1,27x27,0.000179
1,27x27,0.000193
1,27x27,0.000173
1,27x27,0.000186
1,27x27,0.000171
1,27x27,0.000173
1,27x27,0.000176
1,27x27,0.000175
1,27x27,0.000171
1,27x27,0.000170
1,27x27,0.000172
1,27x27,0.000178
1,27x27,0.000188
1,27x27,0.000171
1,27x27,0.000173
1,27x27,0.000171
1,27x27,0.000170
1,27x27,0.000171
1,27x27,0.000171
1,27x27,0.000175
1,27x27,0.000170
1,27x27,0.000170
1,27x27,0.000170
1,27x27,0.000170
1,27x27,0.000169
1,27x27,0.000170
1,27x27,0.000170
1,27x27,0.000168
