Spheres,Resolution,Time
1,19x19,0.000095
1,19x19,0.000085
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000087
1,19x19,0.000085
1,19x19,0.000089
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000087
1,19x19,0.000087
1,19x19,0.000087
1,19x19,0.000085
1,19x19,0.000087
1,19x19,0.000087
1,19x19,0.000086
1,19x19,0.000088
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000085
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000087
1,19x19,0.000086
1,19x19,0.000087
1,19x19,0.000086
1,19x19,0.000087
1,19x19,0.000086
1,19x19,0.000087
1,19x19,0.000087
1,19x19,0.000088
1,19x19,0.000089
1,19x19,0.000089
1,19x19,0.000087
1,19x19,0.000088
1,19x19,0.000087
1,19x19,0.000086
1,19x19,0.000086
1,19x19,0.000088
1,19x19,0.000088
1,19x19,0.000089
1,19x19,0.000088
1,19x19,0.000086
1,19x19,0.000087
1,19x19,0.000088
1,19x19,0.000087
