Spheres,Resolution,Time
5,171x171,0.045416
5,171x171,0.042824
5,171x171,0.047654
5,171x171,0.046867
5,171x171,0.043495
5,171x171,0.044408
5,171x171,0.066059
5,171x171,0.045646
5,171x171,0.046656
5,171x171,0.045542
5,171x171,0.049703
5,171x171,0.043295
5,171x171,0.045325
5,171x171,0.045538
5,171x171,0.044531
5,171x171,0.044528
5,171x171,0.084825
5,171x171,0.045943
5,171x171,0.076726
5,171x171,0.057656
5,171x171,0.045021
5,171x171,0.048063
5,171x171,0.047598
5,171x171,0.052687
5,171x171,0.043354
5,171x171,0.044641
5,171x171,0.044347
5,171x171,0.045574
5,171x171,0.044382
5,171x171,0.044254
5,171x171,0.047542
5,171x171,0.043602
5,171x171,0.044184
5,171x171,0.044574
5,171x171,0.064385
5,171x171,0.055903
5,171x171,0.045551
5,171x171,0.049914
5,171x171,0.085122
5,171x171,0.058523
5,171x171,0.045501
5,171x171,0.049613
5,171x171,0.046101
5,171x171,0.053248
5,171x171,0.049196
5,171x171,0.064828
5,171x171,0.045197
5,171x171,0.043529
5,171x171,0.062049
5,171x171,0.047448
