Spheres,Resolution,Time
3,400x400,0.135150
3,400x400,0.125303
3,400x400,0.148662
3,400x400,0.118483
3,400x400,0.118106
3,400x400,0.117836
3,400x400,0.117669
3,400x400,0.118186
3,400x400,0.234749
3,400x400,0.135610
3,400x400,0.133873
3,400x400,0.155862
3,400x400,0.166145
3,400x400,0.118398
3,400x400,0.137580
3,400x400,0.122552
3,400x400,0.122749
3,400x400,0.183554
3,400x400,0.128938
3,400x400,0.119452
3,400x400,0.142256
3,400x400,0.118218
3,400x400,0.119149
3,400x400,0.118753
3,400x400,0.117957
3,400x400,0.119825
3,400x400,0.156382
3,400x400,0.148534
3,400x400,0.117254
3,400x400,0.155668
3,400x400,0.118241
3,400x400,0.118615
3,400x400,0.118294
3,400x400,0.223703
3,400x400,0.120818
3,400x400,0.117816
3,400x400,0.118610
3,400x400,0.118364
3,400x400,0.117619
3,400x400,0.117137
3,400x400,0.135446
3,400x400,0.117925
3,400x400,0.119271
3,400x400,0.118542
3,400x400,0.134887
3,400x400,0.118153
3,400x400,0.125173
3,400x400,0.127573
3,400x400,0.150749
3,400x400,0.153227
