Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00 10916888     0.00     0.00  Vec::x() const
  0.00      0.00     0.00 10864264     0.00     0.00  Vec::y() const
  0.00      0.00     0.00 10864264     0.00     0.00  Vec::z() const
  0.00      0.00     0.00  3182880     0.00     0.00  dot(Vec const&, Vec const&)
  0.00      0.00     0.00  3069186     0.00     0.00  Vec::Vec(float, float, float)
  0.00      0.00     0.00  3025008     0.00     0.00  Ray::B() const
  0.00      0.00     0.00  2652412     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::base() const
  0.00      0.00     0.00  2016672     0.00     0.00  Sphere::r() const
  0.00      0.00     0.00  1378832     0.00     0.00  operator-(Vec const&, Vec const&)
  0.00      0.00     0.00  1326200     0.00     0.00  bool __gnu_cxx::operator!=<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >(__gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > > const&, __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > > const&)
  0.00      0.00     0.00  1060960     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::operator++()
  0.00      0.00     0.00  1060960     0.00     0.00  Ray::A() const
  0.00      0.00     0.00  1060960     0.00     0.00  Sphere::c() const
  0.00      0.00     0.00  1060960     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::operator*() const
  0.00      0.00     0.00  1052480     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.00     0.00  1008336     0.00     0.00  intersect_sphere(Sphere const&, Ray const&)
  0.00      0.00     0.00   947232     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      0.00     0.00   896736     0.00     0.00  operator*(float, Vec const&)
  0.00      0.00     0.00   799971     0.00     0.00  Vec::Vec()
  0.00      0.00     0.00   684112     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      0.00     0.00   631488     0.00     0.00  std::move_iterator<float*>::base() const
  0.00      0.00     0.00   631488     0.00     0.00  std::move_iterator<float*>::move_iterator(float*)
  0.00      0.00     0.00   631488     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<float*>(std::move_iterator<float*>)
  0.00      0.00     0.00   631488     0.00     0.00  float* std::__miter_base<float*>(float*)
  0.00      0.00     0.00   631488     0.00     0.00  std::move_iterator<float*> std::__make_move_if_noexcept_iterator<float, std::move_iterator<float*> >(float*)
  0.00      0.00     0.00   631488     0.00     0.00  float&& std::forward<float>(std::remove_reference<float>::type&)
  0.00      0.00     0.00   530486     0.00     0.00  __gnu_cxx::__normal_iterator<Sphere*, std::vector<Sphere, std::allocator<Sphere> > >::__normal_iterator(Sphere* const&)
  0.00      0.00     0.00   526240     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      0.00     0.00   473616     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      0.00     0.00   423120     0.00     0.00  norm(Vec)
  0.00      0.00     0.00   423120     0.00     0.00  Vec::length()
  0.00      0.00     0.00   420992     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      0.00     0.00   370488     0.00     0.00  Ray::Ray(Vec const&, Vec const&)
  0.00      0.00     0.00   315744     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00   315744     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      0.00     0.00   315744     0.00     0.00  float* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      0.00     0.00   315744     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      0.00     0.00   315744     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<float*>, float*>(std::move_iterator<float*>, std::move_iterator<float*>, float*)
  0.00      0.00     0.00   315744     0.00     0.00  float* std::__copy_move_a<true, float*, float*>(float*, float*, float*)
