Spheres,Resolution,Time
1,800x800,0.179019
1,800x800,0.199385
1,800x800,0.167812
1,800x800,0.155898
1,800x800,0.165846
1,800x800,0.170888
1,800x800,0.177265
1,800x800,0.163983
1,800x800,0.156134
1,800x800,0.156045
1,800x800,0.156974
1,800x800,0.157383
1,800x800,0.157495
1,800x800,0.158684
1,800x800,0.156265
1,800x800,0.156533
1,800x800,0.156131
1,800x800,0.155410
1,800x800,0.156533
1,800x800,0.156423
1,800x800,0.155480
1,800x800,0.155155
1,800x800,0.156895
1,800x800,0.156001
1,800x800,0.156415
1,800x800,0.156788
1,800x800,0.155827
1,800x800,0.156189
1,800x800,0.157137
1,800x800,0.156501
1,800x800,0.156192
1,800x800,0.156699
1,800x800,0.175024
1,800x800,0.159925
1,800x800,0.174418
1,800x800,0.161403
1,800x800,0.155403
1,800x800,0.158371
1,800x800,0.156474
1,800x800,0.163864
1,800x800,0.156475
1,800x800,0.157084
1,800x800,0.156557
1,800x800,0.155193
1,800x800,0.157290
1,800x800,0.156021
1,800x800,0.156927
1,800x800,0.160026
1,800x800,0.158181
1,800x800,0.156148
