Spheres,Resolution,Time
1,400x400,0.040967
1,400x400,0.042850
1,400x400,0.039844
1,400x400,0.040956
1,400x400,0.040220
1,400x400,0.040359
1,400x400,0.041020
1,400x400,0.042038
1,400x400,0.040716
1,400x400,0.041613
1,400x400,0.042259
1,400x400,0.041609
1,400x400,0.040738
1,400x400,0.041341
1,400x400,0.040312
1,400x400,0.040734
1,400x400,0.040245
1,400x400,0.040788
1,400x400,0.040353
1,400x400,0.061197
1,400x400,0.041633
1,400x400,0.041214
1,400x400,0.040459
1,400x400,0.041497
1,400x400,0.041354
1,400x400,0.040421
1,400x400,0.040178
1,400x400,0.040160
1,400x400,0.040738
1,400x400,0.040624
1,400x400,0.040336
1,400x400,0.040656
1,400x400,0.041111
1,400x400,0.040234
1,400x400,0.040394
1,400x400,0.040083
1,400x400,0.040707
1,400x400,0.040490
1,400x400,0.041592
1,400x400,0.040850
1,400x400,0.040732
1,400x400,0.040686
1,400x400,0.041641
1,400x400,0.041012
1,400x400,0.041683
1,400x400,0.039842
1,400x400,0.039897
1,400x400,0.039404
1,400x400,0.039460
1,400x400,0.039327
