,Spheres,Resolution,Time
0,1,400x400,0.040967
1,1,400x400,0.04285
2,1,400x400,0.039844
3,1,400x400,0.040956
4,1,400x400,0.04022
5,1,400x400,0.040359
6,1,400x400,0.04102
7,1,400x400,0.042038
8,1,400x400,0.040716
9,1,400x400,0.041613
10,1,400x400,0.042259
11,1,400x400,0.041609
12,1,400x400,0.040738
13,1,400x400,0.041341
14,1,400x400,0.040312
15,1,400x400,0.040734
16,1,400x400,0.040245
17,1,400x400,0.040788
18,1,400x400,0.040353
19,1,400x400,0.061197
20,1,400x400,0.041633
21,1,400x400,0.041214
22,1,400x400,0.040459
23,1,400x400,0.041497
24,1,400x400,0.041354
25,1,400x400,0.040421
26,1,400x400,0.040178
27,1,400x400,0.04016
28,1,400x400,0.040738
29,1,400x400,0.040624
30,1,400x400,0.040336
31,1,400x400,0.040656
32,1,400x400,0.041111
33,1,400x400,0.040234
34,1,400x400,0.040394
35,1,400x400,0.040083
36,1,400x400,0.040707
37,1,400x400,0.04049
38,1,400x400,0.041592
39,1,400x400,0.04085
40,1,400x400,0.040732
41,1,400x400,0.040686
42,1,400x400,0.041641
43,1,400x400,0.041012
44,1,400x400,0.041683
45,1,400x400,0.039842
46,1,400x400,0.039897
47,1,400x400,0.039404
48,1,400x400,0.03946
49,1,400x400,0.039327
50,2,400x400,0.108958
51,2,400x400,0.072651
52,2,400x400,0.072419
53,2,400x400,0.084923
54,2,400x400,0.110568
55,2,400x400,0.135349
56,2,400x400,0.093328
57,2,400x400,0.126523
58,2,400x400,0.072543
59,2,400x400,0.072704
60,2,400x400,0.072244
61,2,400x400,0.072779
62,2,400x400,0.072462
63,2,400x400,0.07308
64,2,400x400,0.084411
65,2,400x400,0.15184
66,2,400x400,0.076347
67,2,400x400,0.073271
68,2,400x400,0.124923
69,2,400x400,0.073172
70,2,400x400,0.072104
71,2,400x400,0.073972
72,2,400x400,0.07205
73,2,400x400,0.072769
74,2,400x400,0.072082
75,2,400x400,0.072203
76,2,400x400,0.078521
77,2,400x400,0.099609
78,2,400x400,0.089351
79,2,400x400,0.073206
80,2,400x400,0.071866
81,2,400x400,0.07219
82,2,400x400,0.072509
83,2,400x400,0.097485
84,2,400x400,0.072749
85,2,400x400,0.090514
86,2,400x400,0.078079
87,2,400x400,0.071887
88,2,400x400,0.089362
89,2,400x400,0.091689
90,2,400x400,0.104023
91,2,400x400,0.093734
92,2,400x400,0.072142
93,2,400x400,0.072514
94,2,400x400,0.072145
95,2,400x400,0.072746
96,2,400x400,0.090035
97,2,400x400,0.090773
98,2,400x400,0.073233
99,2,400x400,0.091895
100,3,400x400,0.13515
101,3,400x400,0.125303
102,3,400x400,0.148662
103,3,400x400,0.118483
104,3,400x400,0.118106
105,3,400x400,0.117836
106,3,400x400,0.117669
107,3,400x400,0.118186
108,3,400x400,0.234749
109,3,400x400,0.13561
110,3,400x400,0.133873
111,3,400x400,0.155862
112,3,400x400,0.166145
113,3,400x400,0.118398
114,3,400x400,0.13758
115,3,400x400,0.122552
116,3,400x400,0.122749
117,3,400x400,0.183554
118,3,400x400,0.128938
119,3,400x400,0.119452
120,3,400x400,0.142256
121,3,400x400,0.118218
122,3,400x400,0.119149
123,3,400x400,0.118753
124,3,400x400,0.117957
125,3,400x400,0.119825
126,3,400x400,0.156382
127,3,400x400,0.148534
128,3,400x400,0.117254
129,3,400x400,0.155668
130,3,400x400,0.118241
131,3,400x400,0.118615
132,3,400x400,0.118294
133,3,400x400,0.223703
134,3,400x400,0.120818
135,3,400x400,0.117816
136,3,400x400,0.11861
137,3,400x400,0.118364
138,3,400x400,0.117619
139,3,400x400,0.117137
140,3,400x400,0.135446
141,3,400x400,0.117925
142,3,400x400,0.119271
143,3,400x400,0.118542
144,3,400x400,0.134887
145,3,400x400,0.118153
146,3,400x400,0.125173
147,3,400x400,0.127573
148,3,400x400,0.150749
149,3,400x400,0.153227
150,4,400x400,0.171225
151,4,400x400,0.209988
152,4,400x400,0.171483
153,4,400x400,0.183835
154,4,400x400,0.19062
155,4,400x400,0.169321
156,4,400x400,0.168629
157,4,400x400,0.173839
158,4,400x400,0.268132
159,4,400x400,0.169069
160,4,400x400,0.171872
161,4,400x400,0.189342
162,4,400x400,0.186595
163,4,400x400,0.174693
164,4,400x400,0.170307
165,4,400x400,0.194924
166,4,400x400,0.169887
167,4,400x400,0.264071
168,4,400x400,0.169822
169,4,400x400,0.169367
170,4,400x400,0.203241
171,4,400x400,0.222215
172,4,400x400,0.204385
173,4,400x400,0.189802
174,4,400x400,0.205368
175,4,400x400,0.246498
176,4,400x400,0.228312
177,4,400x400,0.176473
178,4,400x400,0.178418
179,4,400x400,0.170176
180,4,400x400,0.204065
181,4,400x400,0.215109
182,4,400x400,0.210402
183,4,400x400,0.170893
184,4,400x400,0.210695
185,4,400x400,0.203161
186,4,400x400,0.16905
187,4,400x400,0.168828
188,4,400x400,0.187205
189,4,400x400,0.171484
190,4,400x400,0.169941
191,4,400x400,0.169856
192,4,400x400,0.170388
193,4,400x400,0.226368
194,4,400x400,0.187933
195,4,400x400,0.234027
196,4,400x400,0.17154
197,4,400x400,0.184876
198,4,400x400,0.232066
199,4,400x400,0.171249
200,5,400x400,0.254425
201,5,400x400,0.239344
202,5,400x400,0.237646
203,5,400x400,0.391672
204,5,400x400,0.239508
205,5,400x400,0.409786
206,5,400x400,0.258746
207,5,400x400,0.265053
208,5,400x400,0.292465
209,5,400x400,0.27615
210,5,400x400,0.284479
211,5,400x400,0.298644
212,5,400x400,0.238642
213,5,400x400,0.311151
214,5,400x400,0.31948
215,5,400x400,0.24431
216,5,400x400,0.238063
217,5,400x400,0.238776
218,5,400x400,0.278301
219,5,400x400,0.290798
220,5,400x400,0.267304
221,5,400x400,0.23858
222,5,400x400,0.256025
223,5,400x400,0.261704
224,5,400x400,0.33095
225,5,400x400,0.240192
226,5,400x400,0.238481
227,5,400x400,0.299192
228,5,400x400,0.298096
229,5,400x400,0.277298
230,5,400x400,0.255408
231,5,400x400,0.33331
232,5,400x400,0.244433
233,5,400x400,0.316151
234,5,400x400,0.243443
235,5,400x400,0.241629
236,5,400x400,0.246075
237,5,400x400,0.243843
238,5,400x400,0.239858
239,5,400x400,0.298135
240,5,400x400,0.241665
241,5,400x400,0.251418
242,5,400x400,0.286008
243,5,400x400,0.273004
244,5,400x400,0.238914
245,5,400x400,0.239625
246,5,400x400,0.243813
247,5,400x400,0.243116
248,5,400x400,0.24431
249,5,400x400,0.260228
250,6,400x400,0.353938
251,6,400x400,0.365305
252,6,400x400,0.390061
253,6,400x400,0.344205
254,6,400x400,0.332656
255,6,400x400,0.33394
256,6,400x400,0.330988
257,6,400x400,0.355321
258,6,400x400,0.33367
259,6,400x400,0.333467
260,6,400x400,0.332709
261,6,400x400,0.335499
262,6,400x400,0.334531
263,6,400x400,0.332701
264,6,400x400,0.331496
265,6,400x400,0.335545
266,6,400x400,0.331103
267,6,400x400,0.330008
268,6,400x400,0.361108
269,6,400x400,0.354596
270,6,400x400,0.326855
271,6,400x400,0.339988
272,6,400x400,0.427374
273,6,400x400,0.325006
274,6,400x400,0.385916
275,6,400x400,0.433898
276,6,400x400,0.386087
277,6,400x400,0.338888
278,6,400x400,0.381502
279,6,400x400,0.34579
280,6,400x400,0.322362
281,6,400x400,0.349028
282,6,400x400,0.357179
283,6,400x400,0.379709
284,6,400x400,0.324523
285,6,400x400,0.454817
286,6,400x400,0.332545
287,6,400x400,0.334155
288,6,400x400,0.345134
289,6,400x400,0.34248
290,6,400x400,0.357484
291,6,400x400,0.387815
292,6,400x400,0.35393
293,6,400x400,0.323918
294,6,400x400,0.354048
295,6,400x400,0.381804
296,6,400x400,0.346587
297,6,400x400,0.397941
298,6,400x400,0.343712
299,6,400x400,0.338693
300,7,400x400,0.414215
301,7,400x400,0.417334
302,7,400x400,0.461588
303,7,400x400,0.542822
304,7,400x400,0.473586
305,7,400x400,0.475685
306,7,400x400,0.480285
307,7,400x400,0.488656
308,7,400x400,0.504486
309,7,400x400,0.437591
310,7,400x400,0.434752
311,7,400x400,0.445557
312,7,400x400,0.476946
313,7,400x400,0.417708
314,7,400x400,0.414443
315,7,400x400,0.496378
316,7,400x400,0.443144
317,7,400x400,0.48893
318,7,400x400,0.441091
319,7,400x400,0.433294
320,7,400x400,0.512639
321,7,400x400,0.413287
322,7,400x400,0.411473
323,7,400x400,0.41239
324,7,400x400,0.532793
325,7,400x400,0.498257
326,7,400x400,0.569968
327,7,400x400,0.488215
328,7,400x400,0.454474
329,7,400x400,0.444676
330,7,400x400,0.467664
331,7,400x400,0.426843
332,7,400x400,0.436454
333,7,400x400,0.442474
334,7,400x400,0.561604
335,7,400x400,0.525134
336,7,400x400,0.41285
337,7,400x400,0.483597
338,7,400x400,0.422832
339,7,400x400,0.458425
340,7,400x400,0.45423
341,7,400x400,0.420696
342,7,400x400,0.451389
343,7,400x400,0.447694
344,7,400x400,0.471548
345,7,400x400,0.460758
346,7,400x400,0.41495
347,7,400x400,0.414593
348,7,400x400,0.48825
349,7,400x400,0.480536
350,8,400x400,0.573023
351,8,400x400,0.533238
352,8,400x400,0.537696
353,8,400x400,0.537479
354,8,400x400,0.539827
355,8,400x400,0.562937
356,8,400x400,0.530622
357,8,400x400,0.53363
358,8,400x400,0.536587
359,8,400x400,0.534785
360,8,400x400,0.533945
361,8,400x400,0.535359
362,8,400x400,0.537568
363,8,400x400,0.585434
364,8,400x400,0.564961
365,8,400x400,0.596514
366,8,400x400,0.614569
367,8,400x400,0.679726
368,8,400x400,0.537722
369,8,400x400,0.513228
370,8,400x400,0.538219
371,8,400x400,0.523871
372,8,400x400,0.600341
373,8,400x400,0.565691
374,8,400x400,0.657138
375,8,400x400,0.703426
376,8,400x400,0.595869
377,8,400x400,0.559443
378,8,400x400,0.555441
379,8,400x400,0.591293
380,8,400x400,0.72803
381,8,400x400,0.580861
382,8,400x400,0.540894
383,8,400x400,0.675087
384,8,400x400,0.729117
385,8,400x400,0.519289
386,8,400x400,0.529689
387,8,400x400,0.576026
388,8,400x400,0.548091
389,8,400x400,0.693185
390,8,400x400,0.651469
391,8,400x400,0.745929
392,8,400x400,0.569716
393,8,400x400,0.536284
394,8,400x400,0.651888
395,8,400x400,0.536574
396,8,400x400,0.607351
397,8,400x400,0.725749
398,8,400x400,0.556936
399,8,400x400,0.599814
400,9,400x400,0.666873
401,9,400x400,0.623372
402,9,400x400,0.668602
403,9,400x400,0.724144
404,9,400x400,0.634733
405,9,400x400,0.710524
406,9,400x400,0.672383
407,9,400x400,0.658927
408,9,400x400,0.66176
409,9,400x400,0.7663
410,9,400x400,0.66964
411,9,400x400,0.722495
412,9,400x400,0.688366
413,9,400x400,0.661143
414,9,400x400,0.745408
415,9,400x400,0.739561
416,9,400x400,0.705953
417,9,400x400,0.632906
418,9,400x400,0.760657
419,9,400x400,0.65429
420,9,400x400,0.615279
421,9,400x400,0.673988
422,9,400x400,0.614842
423,9,400x400,0.615908
424,9,400x400,0.645884
425,9,400x400,0.616443
426,9,400x400,0.633485
427,9,400x400,0.66727
428,9,400x400,0.728084
429,9,400x400,0.616217
430,9,400x400,0.820017
431,9,400x400,0.688927
432,9,400x400,0.704737
433,9,400x400,0.639586
434,9,400x400,0.704743
435,9,400x400,0.664079
436,9,400x400,0.682349
437,9,400x400,0.659756
438,9,400x400,0.701086
439,9,400x400,0.667866
440,9,400x400,0.709239
441,9,400x400,0.756065
442,9,400x400,0.702967
443,9,400x400,0.660568
444,9,400x400,0.797584
445,9,400x400,0.677014
446,9,400x400,0.687907
447,9,400x400,0.681578
448,9,400x400,0.732931
449,9,400x400,0.615869
