Spheres,Resolution,Time
1,65x65,0.000157
1,65x65,0.000043
1,65x65,0.000041
1,65x65,0.000039
1,65x65,0.000036
1,65x65,0.000033
1,65x65,0.000031
1,65x65,0.000030
1,65x65,0.000029
1,65x65,0.000029
1,65x65,0.000029
1,65x65,0.000030
1,65x65,0.000029
1,65x65,0.000034
1,65x65,0.000034
1,65x65,0.000032
1,65x65,0.000028
1,65x65,0.000029
1,65x65,0.000029
1,65x65,0.000028
1,65x65,0.000028
1,65x65,0.000029
1,65x65,0.000028
1,65x65,0.000029
1,65x65,0.000029
1,65x65,0.000029
1,65x65,0.000030
1,65x65,0.000030
1,65x65,0.000029
1,65x65,0.000030
1,65x65,0.000031
1,65x65,0.000030
1,65x65,0.000030
1,65x65,0.000036
1,65x65,0.000031
1,65x65,0.000031
1,65x65,0.000033
1,65x65,0.000030
1,65x65,0.000030
1,65x65,0.000029
1,65x65,0.000029
1,65x65,0.000028
1,65x65,0.000028
1,65x65,0.000028
1,65x65,0.000030
1,65x65,0.000028
1,65x65,0.000030
1,65x65,0.000034
1,65x65,0.000032
1,65x65,0.000035
