Spheres,Resolution,Time
1,1519x1519,0.000781
1,1519x1519,0.000561
1,1519x1519,0.000498
1,1519x1519,0.000534
1,1519x1519,0.000516
1,1519x1519,0.000518
1,1519x1519,0.000521
1,1519x1519,0.000519
1,1519x1519,0.000523
1,1519x1519,0.000517
1,1519x1519,0.000497
1,1519x1519,0.000784
1,1519x1519,0.000772
1,1519x1519,0.000572
1,1519x1519,0.000528
1,1519x1519,0.000519
1,1519x1519,0.000505
1,1519x1519,0.000497
1,1519x1519,0.000520
1,1519x1519,0.000495
1,1519x1519,0.000520
1,1519x1519,0.000519
1,1519x1519,0.000516
1,1519x1519,0.000525
1,1519x1519,0.000920
1,1519x1519,0.000802
1,1519x1519,0.000579
1,1519x1519,0.000520
1,1519x1519,0.000520
1,1519x1519,0.000500
1,1519x1519,0.000519
1,1519x1519,0.000518
1,1519x1519,0.000516
1,1519x1519,0.000525
1,1519x1519,0.000528
1,1519x1519,0.000539
1,1519x1519,0.000928
1,1519x1519,0.000698
1,1519x1519,0.000494
1,1519x1519,0.000486
1,1519x1519,0.000486
1,1519x1519,0.000488
1,1519x1519,0.000487
1,1519x1519,0.000489
1,1519x1519,0.000491
1,1519x1519,0.000500
1,1519x1519,0.000498
1,1519x1519,0.000528
1,1519x1519,0.000721
1,1519x1519,0.000573
