Spheres,Resolution,Time
1,456x456,0.000205
1,456x456,0.000110
1,456x456,0.000099
1,456x456,0.000095
1,456x456,0.000095
1,456x456,0.000086
1,456x456,0.000081
1,456x456,0.000080
1,456x456,0.000080
1,456x456,0.000079
1,456x456,0.000079
1,456x456,0.000079
1,456x456,0.000085
1,456x456,0.000096
1,456x456,0.000095
1,456x456,0.000093
1,456x456,0.000093
1,456x456,0.000092
1,456x456,0.000122
1,456x456,0.000177
1,456x456,0.000150
1,456x456,0.000095
1,456x456,0.000117
1,456x456,0.000122
1,456x456,0.000204
1,456x456,0.000223
1,456x456,0.000171
1,456x456,0.000113
1,456x456,0.000112
1,456x456,0.000108
1,456x456,0.000108
1,456x456,0.000105
1,456x456,0.000105
1,456x456,0.000106
1,456x456,0.000121
1,456x456,0.000102
1,456x456,0.000090
1,456x456,0.000087
1,456x456,0.000090
1,456x456,0.000089
1,456x456,0.000089
1,456x456,0.000087
1,456x456,0.000087
1,456x456,0.000086
1,456x456,0.000084
1,456x456,0.000086
1,456x456,0.000086
1,456x456,0.000086
1,456x456,0.000088
1,456x456,0.000094
