Spheres,Resolution,Time
8,28x28,0.000101
8,28x28,0.000062
8,28x28,0.000050
8,28x28,0.000049
8,28x28,0.000046
8,28x28,0.000045
8,28x28,0.000045
8,28x28,0.000045
8,28x28,0.000045
8,28x28,0.000051
8,28x28,0.000049
8,28x28,0.000049
8,28x28,0.000051
8,28x28,0.000058
8,28x28,0.000049
8,28x28,0.000048
8,28x28,0.000048
8,28x28,0.000050
8,28x28,0.000044
8,28x28,0.000043
8,28x28,0.000044
8,28x28,0.000044
8,28x28,0.000044
8,28x28,0.000048
8,28x28,0.000055
8,28x28,0.000052
8,28x28,0.000048
8,28x28,0.000048
8,28x28,0.000047
8,28x28,0.000048
8,28x28,0.000048
8,28x28,0.000048
8,28x28,0.000049
8,28x28,0.000053
8,28x28,0.000054
8,28x28,0.000052
8,28x28,0.000048
8,28x28,0.000048
8,28x28,0.000050
8,28x28,0.000052
8,28x28,0.000049
8,28x28,0.000049
8,28x28,0.000102
8,28x28,0.000057
8,28x28,0.000062
8,28x28,0.000051
8,28x28,0.000048
8,28x28,0.000048
8,28x28,0.000048
8,28x28,0.000053
