Spheres,Resolution,Time
9,951x951,0.001182
9,951x951,0.001187
9,951x951,0.001753
9,951x951,0.001214
9,951x951,0.001150
9,951x951,0.001151
9,951x951,0.001202
9,951x951,0.001874
9,951x951,0.001222
9,951x951,0.001145
9,951x951,0.001130
9,951x951,0.001152
9,951x951,0.001523
9,951x951,0.001156
9,951x951,0.001607
9,951x951,0.001222
9,951x951,0.001156
9,951x951,0.001340
9,951x951,0.001187
9,951x951,0.001666
9,951x951,0.001167
9,951x951,0.001147
9,951x951,0.001141
9,951x951,0.001509
9,951x951,0.001140
9,951x951,0.001142
9,951x951,0.001138
9,951x951,0.001139
9,951x951,0.001140
9,951x951,0.001123
9,951x951,0.001143
9,951x951,0.001148
9,951x951,0.001143
9,951x951,0.001136
9,951x951,0.001294
9,951x951,0.001126
9,951x951,0.001153
9,951x951,0.001151
9,951x951,0.001124
9,951x951,0.001141
9,951x951,0.001147
9,951x951,0.001500
9,951x951,0.001144
9,951x951,0.001140
9,951x951,0.001142
9,951x951,0.001148
9,951x951,0.001168
9,951x951,0.001144
9,951x951,0.001146
9,951x951,0.001142
